Date,Equity
2022-12-29,176192.5749736708
2022-12-30,176627.58243806052
2023-01-03,170020.85422769244
2023-01-04,171774.50424098803
2023-01-05,169952.90001486623
2023-01-06,176206.14278445844
2023-01-09,176926.66053881825
2023-01-10,177715.1010990348
2023-01-11,181467.08235535547
2023-01-12,181358.30955127842
2023-01-13,183193.50252616752
2023-01-17,184797.60302009448
2023-01-18,183805.24747645028
2023-01-19,183886.82184501318
2023-01-20,187421.25749317976
2023-01-23,191825.74994608504
2023-01-24,193756.10603830428
2023-01-25,192845.30392524338
2023-01-26,195700.05087929076
2023-01-27,198378.08128542476
2023-01-30,194395.0284861216
2023-01-31,196148.6470924478
2023-02-01,197698.37165332603
2023-02-02,205025.5966800743
2023-02-03,210028.18252055623
2023-02-06,206262.6334534479
2023-02-07,210232.0975039838
2023-02-08,206520.88249396495
2023-02-09,205093.51948593103
2023-02-10,205597.28727536197
2023-02-13,209463.92490803025
2023-02-14,208578.93932382923
2023-02-15,211478.87043787632
2023-02-16,209273.28460367583
2023-02-17,207693.99561558742
2023-02-21,202152.73837366374
2023-02-22,202738.1433455964
2023-02-23,203405.26925194918
2023-02-24,199742.94442432112
2023-02-27,201390.30278412355
2023-02-28,200695.95750427694
2023-03-01,197836.85545047055
2023-03-02,198653.72978699833
2023-03-03,205624.5275868355
2023-03-06,209436.6636585774
2023-03-07,206400.5728631226
2023-03-08,208129.65215734515
2023-03-09,205025.47105219672
2023-03-10,202179.97868513718
2023-03-13,204862.09199729527
2023-03-14,207748.41342459543
2023-03-15,208293.03121224663
2023-03-16,212186.86728042905
2023-03-17,211029.62514735144
2023-03-20,214297.14343144215
2023-03-21,216856.74862489858
2023-03-22,214882.59027933396
2023-03-23,216380.20020896138
2023-03-24,218177.34887489802
2023-03-27,215495.25650071958
2023-03-28,214637.53216597153
2023-03-29,218885.32477947103
2023-03-30,221050.1234293901
2023-03-31,224508.24014187604
2023-04-03,226237.31943609862
2023-04-04,225502.14509601137
2023-04-05,222956.1705272814
2023-04-06,224181.5239080323
2023-04-10,220600.8153249263
2023-04-11,218926.21665365054
2023-04-12,217973.18263571506
2023-04-13,225406.8563508036
2023-04-14,224930.32887284606
2023-04-17,224957.5273083602
2023-04-18,226645.7984803217
2023-04-19,228225.12934436934
2023-04-20,226890.85659368412
2023-04-21,224671.6401347571
2023-04-24,225093.68698976786
2023-04-25,222969.7802140283
2023-04-26,222956.17052728139
2023-04-27,229287.06179425947
2023-04-28,231016.14108848208
2023-05-01,230893.61203180085
2023-05-02,229464.07147388745
2023-05-03,227980.05029302728
2023-05-04,225719.98383588
2023-05-05,236312.31927906378
2023-05-08,236217.00959587638
2023-05-09,233861.65439352128
2023-05-10,236298.70959231697
2023-05-11,236557.37739242628
2023-05-12,235275.805536421
2023-05-15,234594.1486722184
2023-05-16,234594.1486722184
2023-05-17,235439.41490909815
2023-05-18,238656.95423585834
2023-05-19,238806.9329838091
2023-05-22,237498.07894037117
2023-05-23,233898.81930733018
2023-05-24,234280.539613611
2023-05-25,235848.4174028116
2023-05-26,239175.04360334302
2023-05-30,241724.51481466796
2023-05-31,241656.36169103548
2023-06-01,245528.31757052487
2023-06-02,246700.802552759
2023-06-05,244833.00914361622
2023-06-06,244328.5922768174
2023-06-07,242433.49574226237
2023-06-08,246182.73412325405
2023-06-09,246714.43317748548
2023-06-12,250572.7584322484
2023-06-13,249918.3209415396
2023-06-14,250790.89030383158
2023-06-15,253599.40619889883
2023-06-16,252113.37497199603
2023-06-20,252236.0715325141
2023-06-21,250804.54186653768
2023-06-22,254949.15211651623
2023-06-23,254512.86743537022
2023-06-26,252590.55152732146
2023-06-27,256394.3124072191
2023-06-28,258016.71269532575
2023-06-29,258480.25862592476
2023-06-30,264451.79134884616
2023-07-03,262393.1482555528
2023-07-05,260852.5317158052
2023-07-06,261506.92733055475
2023-07-07,259966.33172878675
2023-07-10,257144.1642710134
2023-07-11,256421.59459465175
2023-07-12,258725.69362292008
2023-07-13,259775.4611066565
2023-07-14,259979.98329149277
2023-07-17,264479.0944742583
2023-07-18,264124.59354147135
2023-07-19,265992.38695061416
2023-07-20,263306.567616065
2023-07-21,261684.16732795836
2023-07-24,262788.49918656
2023-07-25,263974.59385554097
