Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Slovenia,2013,3168.0,119.5,96.2,101.3,46.6,73.9,58.7
Slovenia,2014,3203.0,113.6,98.9,111.5,46.3,78.5,58.93
Slovenia,2015,3164.0,111.6,97.4,111.4,49.4,87.4,59.16
Slovenia,2016,3164.0,114.6,98.6,106.3,45.6,92.1,59.39
Slovenia,2017,3192.0,115.4,97.5,101.3,51.2,90.4,59.63
Slovenia,2018,3180.0,114.4,95.9,128.3,45.0,89.3,59.86
Slovenia,2019,3161.0,114.4,98.0,104.1,44.7,99.3,60.1
Slovenia,2020,3155.0,116.6,99.1,109.9,40.7,105.1,60.34
South Africa,2010,2969.0,90.0,80.4,28.6,45.2,47.9,50.19
South Africa,2011,2965.0,88.8,80.2,33.1,44.3,46.8,50.52
South Africa,2012,2982.0,91.8,80.5,28.6,44.4,47.6,50.83
South Africa,2013,2963.0,91.0,80.5,25.7,42.8,43.0,51.14
South Africa,2014,2933.0,86.7,82.2,28.4,42.9,40.0,51.42
South Africa,2015,2907.0,86.9,81.6,26.4,41.7,42.9,51.63
South Africa,2016,2907.0,88.2,81.4,19.5,42.4,39.5,52.0
South Africa,2017,2902.0,88.6,79.7,20.5,40.4,41.0,52.48
South Africa,2018,2903.0,87.7,80.4,23.4,39.9,38.4,52.85
South Africa,2019,2875.0,91.3,80.7,24.6,39.3,38.0,53.21
South Africa,2020,2857.0,93.3,79.1,22.2,40.8,38.4,53.55
Colombia,2010,2708.0,77.9,61.2,128.1,58.7,37.4,50.79
Colombia,2011,2717.0,77.8,62.2,127.4,59.2,38.7,51.72
Colombia,2012,2807.0,81.1,64.4,162.7,59.7,41.8,52.63
Colombia,2013,2868.0,81.2,65.1,178.1,61.6,44.1,53.52
Colombia,2014,2907.0,84.5,68.0,162.2,60.3,43.0,54.39
Colombia,2015,2970.0,86.2,69.8,178.7,59.2,40.8,55.22
Colombia,2016,2970.0,85.6,69.2,176.5,60.8,47.7,56.01
Colombia,2017,2928.0,91.0,70.5,106.7,75.5,47.0,56.73
Colombia,2018,2973.0,90.4,72.6,129.6,73.8,52.4,57.4
Colombia,2019,2970.0,88.3,74.1,144.6,57.5,55.1,58.07
Colombia,2020,2960.0,91.3,72.5,134.1,55.4,51.2,58.76
Costa Rica,2010,2845.0,87.9,75.6,69.8,56.2,43.3,59.79
